Slit Sep. $d$ (mm),True Slit Width (mm),Fitted (Sim) (mm),Fitted (Exp) (mm),% Error (Sim)
0.000125,0.04,0.000,—,99.9\%
0.00025,0.04,0.000,—,99.9\%
